Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value
CENSUS,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"36,281,409"
CENSUS,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"7,034"
CENSUS,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"2,700"
CENSUS,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"6,250,853"
CENSUS,2017,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"21,050"
CENSUS,2017,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"293,876"
CENSUS,2017,YEAR,,STATE,HAWAII,15,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"49,650"
CENSUS,2017,YEAR,,STATE,INDIANA,18,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"12,632"
CENSUS,2017,YEAR,,STATE,IOWA,19,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"8,664"
CENSUS,2017,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,MUSHROOMS - SQ FT IN PRODUCTION,TOTAL,NOT SPECIFIED,"44,720"
